Time;f60_US_TX01;QI_US_TX01
2019-05-15 04:45:19;-4.65696;0
2019-05-15 04:45:20;-3.02022;0
2019-05-15 04:45:21;-1.25164;0
2019-05-15 04:45:22;0.782099;0
2019-05-15 04:45:23;2.79775;0
2019-05-15 04:45:24;4.42995;0
2019-05-15 04:45:25;6.15318;0
2019-05-15 04:45:26;7.31516;0
2019-05-15 04:45:27;8.481;0
2019-05-15 04:45:28;9.29438;0
2019-05-15 04:45:29;10.7181;0
2019-05-15 04:45:30;11.4838;0
2019-05-15 04:45:31;12.5403;0
2019-05-15 04:45:32;14.2764;0
2019-05-15 04:45:33;14.7187;0
2019-05-15 04:45:34;13.8164;0
2019-05-15 04:45:35;14.4645;0
2019-05-15 04:45:36;14.108;0
2019-05-15 04:45:37;13.3897;0
2019-05-15 04:45:38;12.372;0
2019-05-15 04:45:39;14.3145;0
2019-05-15 04:45:40;18.0936;0
2019-05-15 04:45:41;18.8274;0
2019-05-15 04:45:42;18.5592;0
2019-05-15 04:45:43;16.8369;0
2019-05-15 04:45:44;15.8938;0
2019-05-15 04:45:45;17.1159;0
2019-05-15 04:45:46;16.2136;0
2019-05-15 04:45:47;14.3637;0
2019-05-15 04:45:48;13.9813;0
2019-05-15 04:45:49;14.6737;0
2019-05-15 04:45:50;15.1295;0
2019-05-15 04:45:51;15.7908;0
2019-05-15 04:45:52;16.0391;0
2019-05-15 04:45:53;17.545;0
2019-05-15 04:45:54;18.8083;0
2019-05-15 04:45:55;17.7353;0
2019-05-15 04:45:56;15.9009;0
2019-05-15 04:45:57;15.3361;0
2019-05-15 04:45:58;13.6388;0
2019-05-15 04:45:59;12.8359;0
2019-05-15 04:46:00;12.359;0
2019-05-15 04:46:01;11.1397;0
2019-05-15 04:46:02;10.1994;0
2019-05-15 04:46:03;9.39749;0
2019-05-15 04:46:04;10.1066;0
2019-05-15 04:46:05;10.5113;0
2019-05-15 04:46:06;11.8221;0
2019-05-15 04:46:07;15.0191;0
2019-05-15 04:46:08;17.3304;0
2019-05-15 04:46:09;16.6399;0
2019-05-15 04:46:10;14.3147;0
2019-05-15 04:46:11;14.8816;0
2019-05-15 04:46:12;17.3086;0
2019-05-15 04:46:13;18.6589;0
2019-05-15 04:46:14;18.9061;0
2019-05-15 04:46:15;17.329;0
2019-05-15 04:46:16;15.3319;0
2019-05-15 04:46:17;12.9457;0
2019-05-15 04:46:18;10.2731;0
2019-05-15 04:46:19;9.43925;0
2019-05-15 04:46:20;9.33366;0
2019-05-15 04:46:21;8.82931;0
2019-05-15 04:46:22;8.52236;0
2019-05-15 04:46:23;10.2886;0
2019-05-15 04:46:24;11.1141;0
2019-05-15 04:46:25;12.5419;0
2019-05-15 04:46:26;14.6357;0
2019-05-15 04:46:27;15.8998;0
2019-05-15 04:46:28;17.2002;0
2019-05-15 04:46:29;18.4911;0
2019-05-15 04:46:30;19.2358;0
2019-05-15 04:46:31;18.5625;0
2019-05-15 04:46:32;17.2631;0
2019-05-15 04:46:33;16.1417;0
2019-05-15 04:46:34;14.3558;0
2019-05-15 04:46:35;13.1082;0
2019-05-15 04:46:36;13.2164;0
2019-05-15 04:46:37;14.4256;0
2019-05-15 04:46:38;16.0373;0
2019-05-15 04:46:39;16.684;0
2019-05-15 04:46:40;16.0125;0
2019-05-15 04:46:41;14.9509;0
2019-05-15 04:46:42;13.1137;0
2019-05-15 04:46:43;12.5273;0
2019-05-15 04:46:44;13.3682;0
2019-05-15 04:46:45;13.2194;0
2019-05-15 04:46:46;12.4183;0
2019-05-15 04:46:47;11.6361;0
2019-05-15 04:46:48;10.7969;0
2019-05-15 04:46:49;10.1391;0
2019-05-15 04:46:50;9.52499;0
2019-05-15 04:46:51;10.2896;0
2019-05-15 04:46:52;12.7234;0
2019-05-15 04:46:53;15.3775;0
2019-05-15 04:46:54;17.5047;0
2019-05-15 04:46:55;17.7831;0
2019-05-15 04:46:56;17.1044;0
2019-05-15 04:46:57;16.5001;0
2019-05-15 04:46:58;16.0789;0
2019-05-15 04:46:59;14.7052;0
